Status,Genres,Favorites,Popularity,Score,Chapters,Volumes,Ranked,link,Members,Authors,Serialization,Type,Published,name
 Finished,"['Drama', 'Sci-Fi', 'Psychological']", 0, #10767," 6.81, "," 1
	"," Unknown
	", #12600,http://myanimelist.net/manga/41153/A_Boy_Who_Fishes_Dreams, 310,['Hanna-hye'],Daiwon, One-shot, Jun 2012,A Boy Who Fishes Dreams 
 Finished,"['Drama', 'Shojo', 'Slice of Life', 'Psychological']", 8, #5688," 7.10, "," 10
	"," 2
	", #8972,http://myanimelist.net/manga/3231/A_Cat_and_a_Bird, 830,"['Kim, So Hee']","
		None", Manhwa, Not available,A Cat and a Bird 
 Finished,"['Drama', 'Fantasy', 'Romance', 'School', 'Seinen']", 10, #7119," 7.39, "," 13
	"," 2
	", #5091,http://myanimelist.net/manga/3971/H2O:_Footprints_in_the_Sand, 621,"['Ingami, Kira', 'Makra', 'SCA-JI']",Comp Ace, Manga," Jan  26, 2007 to Feb  26, 2008",H2O: Footprints in the Sand 
 Finished,"['Romance', 'Shojo', 'Slice of Life']", 35, #1859," 7.84, "," 43
	"," 7
	", #1518,http://myanimelist.net/manga/1270/H20," 2,621","['Hwang, Sook Ji']",Wink, Manhwa, Not available,H20 
 Finished,"['Comedy', 'Drama', 'Romance', 'School', 'Shonen', 'Sports']", 121, #1355," 8.23, "," 338
	"," 34
	", #471,http://myanimelist.net/manga/1014/H2," 3,505","['Adachi, Mitsr']",Shounen Sunday, Manga, 1992 to 1999,H2 
 Finished,"['Action', 'Hentai', 'Sci-Fi']", 0, #23117," 7.00, "," 10
	"," 1
	", #25400,http://myanimelist.net/manga/66527/-Crow-, 39,['Kentaro'],"
		None", Manga, Nov 2002,-Crow- 
 Finished,"
	  No genres have been added yet.", 0, #20895," 8.00, "," Unknown
	"," 1
	", #28795,http://myanimelist.net/manga/49689/A_Clockwork_Ley-Line:_Unmei_no_Mawaru_Mori, 54,"['Ito, Noizi']","
		None", Novel," Aug  10, 2012",A Clockwork Ley-Line: Unmei no Mawaru Mori 
 Finished,"['Drama', 'Msic', 'Romance', 'School', 'Seinen']", 1, #6505," 6.15, "," 5
	"," 1
	", #17092,http://myanimelist.net/manga/48805/17-sai_%C2%B0C, 703,"['Mgimori, Nagi']",Web Comic Beat's, Manga," Feb  10, 2013 to Apr  10, 2013",17-sai °C 
 Finished,"['Drama', 'Shojo', 'Slice of Life']", 0, #7211," 6.65, "," 10
	"," 2
	", #14323,http://myanimelist.net/manga/10999/17-sai_no_Mama, 609,"['Higchi, Marina']","
		None", Manga, 2005 to 2006,17-sai no Mama 
 Finished,"['School', 'Shonen Ai', 'Yaoi']", 7, #1435," 7.48, "," 6
	"," 1
	", #4064,http://myanimelist.net/manga/10951/17-sai_no_Hisoka_na_Yokujou," 3,343","['Takak, Shoko']",drap, Manga, 2008,17-sai no Hisoka na Yokujou 
